user	item	timestamp	rating
3	262	-3-	2
3	241	-3-	1
3	540	-3-	3
3	810	-3-	3
3	811	-3-	2
3	306	-3-	2
3	819	-3-	2
3	649	-3-	2
3	314	-3-	4
3	501	-3-	1
3	966	-3-	1
3	375	-3-	1
3	759	-3-	1
3	461	-3-	2
3	462	-3-	1
3	463	-3-	2
3	335	-3-	1
3	421	-3-	1
3	230	-3-	5
3	359	-3-	1
3	496	-3-	2
3	1009	-3-	1
3	499	-3-	2
3	245	-3-	2
3	886	-3-	3
3	631	-3-	1
3	504	-3-	3
3	505	-3-	1
3	378	-3-	1
3	511	-3-	1
2	512	-3-	4
2	641	-3-	3
2	642	-3-	4
2	385	-3-	5
2	983	-3-	4
2	13	-3-	4
2	527	-3-	3
2	17	-3-	4
2	18	-3-	4
2	19	-3-	4
2	23	-3-	4
2	25	-3-	5
2	943	-3-	4
2	30	-3-	5
2	160	-3-	5
2	734	-3-	4
2	35	-3-	4
2	36	-3-	3
2	167	-3-	4
2	937	-3-	3
2	426	-3-	3
2	941	-3-	2
2	942	-3-	2
2	559	-3-	2
2	563	-3-	3
2	564	-3-	4
2	949	-3-	2
2	950	-3-	4
2	954	-3-	5
2	188	-3-	4
2	190	-3-	3
2	565	-3-	4
2	960	-3-	3
2	193	-3-	4
2	194	-3-	2
2	196	-3-	3
2	197	-3-	4
2	198	-3-	4
2	199	-3-	3
2	200	-3-	3
2	717	-3-	3
2	718	-3-	4
2	975	-3-	4
2	976	-3-	5
2	977	-3-	4
2	978	-3-	4
2	723	-3-	5
2	980	-3-	5
2	981	-3-	5
2	982	-3-	5
2	855	-3-	5
2	856	-3-	5
2	985	-3-	5
2	730	-3-	4
2	987	-3-	4
2	860	-3-	3
2	733	-3-	2
2	222	-3-	3
2	991	-3-	4
2	993	-3-	4
2	870	-3-	5
2	742	-3-	4
2	721	-3-	3
2	360	-3-	4
2	566	-3-	2
2	367	-3-	5
2	984	-3-	3
2	958	-3-	2
2	345	-3-	3
8	263	-3-	3
8	650	-3-	2
8	527	-3-	4
8	528	-3-	3
8	529	-3-	3
8	926	-3-	4
8	928	-3-	3
8	929	-3-	2
8	930	-3-	2
8	931	-3-	3
8	932	-3-	2
8	933	-3-	3
8	935	-3-	2
8	937	-3-	1
8	170	-3-	3
8	46	-3-	3
8	948	-3-	4
8	565	-3-	2
8	566	-3-	4
8	825	-3-	2
8	570	-3-	4
8	188	-3-	2
8	949	-3-	4
8	962	-3-	2
8	569	-3-	2
8	222	-3-	3
8	870	-3-	3
20	384	-3-	2
20	385	-3-	3
20	642	-3-	3
20	388	-3-	4
20	774	-3-	4
20	653	-3-	3
20	46	-3-	3
20	926	-3-	3
20	160	-3-	2
20	948	-3-	3
20	170	-3-	3
20	171	-3-	3
20	428	-3-	4
20	942	-3-	2
20	179	-3-	5
20	564	-3-	3
20	565	-3-	3
20	566	-3-	3
20	569	-3-	3
20	954	-3-	2
20	571	-3-	3
20	188	-3-	1
20	189	-3-	5
20	949	-3-	2
20	963	-3-	2
20	965	-3-	2
20	977	-3-	2
20	979	-3-	2
20	983	-3-	1
